source_doc,main_work,process,sub_process,chunk_id,step_number,text,image_path,has_image,procedure_id,step_counter
JI_103_03_Verifying Customer Details.docx,Onboarding Repairers on PartsCheck,Verifying Customer details,Verifying Customer details,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details_003,2,"Enter in Date verified. Verified date is for reporting.Use US date format. Use the '--  symbol. Change status with the drop down arrow to  verified. Next, select the Quote Package from the drop down box. Without doing this step the quote won't be able to be sent and bought back into the Quote Package. If they don't have a quote package you don't need to select any. For AutoQuote you need to make sure that the associations are set up first before switching on the orders",images/JI_103_03_Verifying Customer Details_img_0020.png,TRUE,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details,3
JI_103_03_Verifying Customer Details.docx,Onboarding Repairers on PartsCheck,Verifying Customer details,Verifying Customer details,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details_004,3,Click in Maximum Prefered suppliers. Change the preferred suppliers to 10 (doing more then 10 suppliers distorts the screen). For AutoSync Order -select yes from the drop down box . Set Auto Sync Order to Yes (except if it is Auto-Quote). Auto Quote needs to have the associations set up before turning on auto sync orders. Click Global Roaming to Yes.,images/JI_103_03_Verifying Customer Details_img_0022.png,TRUE,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details,4
JI_103_03_Verifying Customer Details.docx,Onboarding Repairers on PartsCheck,Verifying Customer details,Verifying Customer details,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details_005,4,For IBody Customers ( Credits ) - Make sure to set the Bypass Supplier Suth to No (only for IBody Shop customers),images/JI_103_03_Verifying Customer Details_img_0023.png,TRUE,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details,5
JI_103_03_Verifying Customer Details.docx,Onboarding Repairers on PartsCheck,Verifying Customer details,Verifying Customer details,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details_006,5,"Complete notes of the following field and enter into CM Panel and Zendesk- ABN CHECK, PHONE CHECK, QUOTE PACKAGE, SHOP GRADING, FIND US METHOD, SPECIAL NOTES. Shop grading can be a guess and must be updated later once quoting through the system. Entering it into both systems allows everyone to see where the shop is up to.",,FALSE,onb_repairers_on_partscheck_verifying_customer_details_verifying_customer_details,6
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Adding a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier_001,1,"To add a Supplier, enter the applicable client into CM Panel. Click Edit",images/JI_103_04_Discussing Preferred Suppliers List_img_0026.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier,1
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Adding a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier_002,2,To assign the suppliers click the 'Preferred Suppliers' tab.,images/JI_103_04_Discussing Preferred Suppliers List_img_0027.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier,2
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Adding a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier_003,3,"Click Assign Supplier to all Makes. Alternatively, click 'Add' next to the applicable vehicle make. Repairers Choice to specify which supplier that they use for each Brand. Selecting all makes for Suppliers that do multiple makes, can put multiple",images/JI_103_04_Discussing Preferred Suppliers List_img_0028.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier,3
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Adding a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier_004,4,"Select the applicable supplier from the drop-down menu. Once you have selected the supplier, ",images/JI_103_04_Discussing Preferred Suppliers List_img_0029.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier,4
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Adding a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier_005,5,Click Assign then Click Refresh,images/JI_103_04_Discussing Preferred Suppliers List_img_0030.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier,5
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Adding a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier_006,6,The supplier has now been added to the clients preferred supplier list and the applicable makes they supply.,images/JI_103_04_Discussing Preferred Suppliers List_img_0031.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_adding_a_supplier,6
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Removing a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier_001,1,Enter the applicable client into CM Panel Click Edit,images/JI_103_04_Discussing Preferred Suppliers List_img_0032.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier,1
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Removing a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier_002,2,Select the Preferred Suppliers tab,images/JI_103_04_Discussing Preferred Suppliers List_img_0033.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier,2
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Removing a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier_003,3,Select Remove Supplier from All Makes,images/JI_103_04_Discussing Preferred Suppliers List_img_0034.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier,3
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Removing a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier_004,4,Select the applicable supplier from the drop-down menu,images/JI_103_04_Discussing Preferred Suppliers List_img_0035.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier,4
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Removing a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier_005,5,Click Remove. Click Refresh,images/JI_103_04_Discussing Preferred Suppliers List_img_0036.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier,5
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Removing a Supplier,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier_006,6,The supplier has now been removed from the clients preferred supplier list,images/JI_103_04_Discussing Preferred Suppliers List_img_0037.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_removing_a_supplier,6
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Tiering Suppliers,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_tiering_suppliers_001,1,"Click on Supplier. When you have multiple OEM suppliers per make, PatsCheck will push the one with the highest star rating to the top and be automatically selected. ",images/JI_103_04_Discussing Preferred Suppliers List_img_0038.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_tiering_suppliers,1
JI_103_04_Discussing Preferred Suppliers List.docx,Onboarding Repairers on PartsCheck,Discussing Preferred Suppliers List,Tiering Suppliers,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_tiering_suppliers_002,2,In the Supplier put in 2 on the tier level for the one that you have as a second pick. Click Update. We tier so that the customer has their first pick selected all the time but are still able to select the other supplier if needed.,images/JI_103_04_Discussing Preferred Suppliers List_img_0039.png,TRUE,onb_repairers_on_partscheck_discussing_preferred_suppliers_list_tiering_suppliers,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Integrating PartsCheck,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck_001,1,Search for Customer in the CM Panel. Click Edit. ,images/JI_103_05_Integrating PartsCheck_img_0042.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Integrating PartsCheck,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck_002,2,Go to Set Up Client,images/JI_103_05_Integrating PartsCheck_img_0043.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Integrating PartsCheck,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck_003,3,Copy Client Hash. To get the client hash to integrate and copy to the quote package,images/JI_103_05_Integrating PartsCheck_img_0044.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck,3
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Integrating PartsCheck,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck_004,4,Login to PartsCheck: www.partscheck.com.au. Choose My PartsCheck - Settings,images/JI_103_05_Integrating PartsCheck_img_0045.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck,4
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Integrating PartsCheck,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck_005,5,Copy the Hash ID. ,images/JI_103_05_Integrating PartsCheck_img_0046.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_integrating_partscheck,5
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,AutoQuote Integration,onb_repairers_on_partscheck_integrating_partscheck_autoquote_integration_001,1,"For AutoQuote integration. You will need to book a time with the developers to do the integration, through Jira. ",,,onb_repairers_on_partscheck_integrating_partscheck_autoquote_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Business Manager Integration,onb_repairers_on_partscheck_integrating_partscheck_business_manager_integration_001,1,"For Business Manager integration, you will need to book a time with the developers or Cecily or Joyce to do the integration through Jira.",,,onb_repairers_on_partscheck_integrating_partscheck_business_manager_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Flexiquote Integration,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration_001,1,Log into Flexiquote support log in and select shop required. Click Admin,images/JI_103_05_Integrating PartsCheck_img_0047.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Flexiquote Integration,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration_002,2,Click Company setting. ,images/JI_103_05_Integrating PartsCheck_img_0048.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Flexiquote Integration,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration_003,3,Click Integrations. Click Partscheck.,images/JI_103_05_Integrating PartsCheck_img_0049.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration,3
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Flexiquote Integration,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration_004,4,Paste the client hash into Flexiquote. This will auto save in Flexiquote and the integration is Complete,images/JI_103_05_Integrating PartsCheck_img_0050.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_flexiquote_integration,4
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Crashzone Integration,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration_001,1,Login to PartsCheck: www.partscheck.com.au. Choose My PartsCheck - Settings,images/JI_103_05_Integrating PartsCheck_img_0051.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Crashzone Integration,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration_002,2,Copy the Hash ID.,images/JI_103_05_Integrating PartsCheck_img_0052.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Crashzone Integration,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration_003,3,Login to Crashzone www.crashzone.com.au. Click Settings,images/JI_103_05_Integrating PartsCheck_img_0053.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration,3
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Crashzone Integration,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration_004,4,"Click on the Company Tab, Check your Crashzone email settings are correct. Note: If you do not have a Crashzone email, please contact Crashzone support at support@crashzone.com.au to set one up for you.",images/JI_103_05_Integrating PartsCheck_img_0054.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration,4
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Crashzone Integration,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration_005,5,Make sure the box next to Parts Order is ticked. This is to make sure the orders update.,images/JI_103_05_Integrating PartsCheck_img_0055.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration,5
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Crashzone Integration,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration_006,6,Click Integration Tab. Click on PartsCheck Settings. Paste in the Hash ID. Click submit.,images/JI_103_05_Integrating PartsCheck_img_0056.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_crashzone_integration,6
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Panel N Paint Integration,onb_repairers_on_partscheck_integrating_partscheck_panel_n_paint_integration_001,1,"1. In Panel and Paint, Click Manager. Click PartsCheck Setup",images/JI_103_05_Integrating PartsCheck_img_0057.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_panel_n_paint_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Panel N Paint Integration,onb_repairers_on_partscheck_integrating_partscheck_panel_n_paint_integration_002,2,2. Enter in the CLient Hash and click ok,images/JI_103_05_Integrating PartsCheck_img_0058.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_panel_n_paint_integration,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Wasp Integration,onb_repairers_on_partscheck_integrating_partscheck_wasp_integration_001,1,1. Click Management. Click Module Configuration. Click PartsCheck,images/JI_103_05_Integrating PartsCheck_img_0059.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_wasp_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Wasp Integration,onb_repairers_on_partscheck_integrating_partscheck_wasp_integration_002,2,2. Enter in Client Hash. Click OK,images/JI_103_05_Integrating PartsCheck_img_0060.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_wasp_integration,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,IBodySHop Integration,onb_repairers_on_partscheck_integrating_partscheck_ibodyshop_integration_001,1,"1. Email IBodyshop for integration - (support@dnstech.com.au). You need to put in the email, the shop name, and address, as well as the client hash that you will find in CM Panel. Make sure that in the email you ask that the auto receipting is disabled. IBodyShop will integrate the customer and should email you when it has been actioned. This is to make sure that IBody updates from Partscheck",images/JI_103_05_Integrating PartsCheck_img_0062.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_ibodyshop_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Carquote Integration,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration_001,1,"1. In CM panel, make sure the quote package setting is set to 'CarQuote New'.",images/JI_103_05_Integrating PartsCheck_img_0061.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Carquote Integration,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration_002,2,[Image],images/JI_103_05_Integrating PartsCheck_img_0063.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Carquote Integration,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration_003,3,"2. Go to System, Set Up Options, General, PartsCheck and enter hash code from PartsCheck's CM Panel.",images/JI_103_05_Integrating PartsCheck_img_0064.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration,3
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Carquote Integration,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration_004,4,"3. To send the parts to PartsCheck, tick the parts boxes, then click Partscheck > Submit parts to be checked",images/JI_103_05_Integrating PartsCheck_img_0065.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration,4
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Carquote Integration,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration_005,5,[Image],images/JI_103_05_Integrating PartsCheck_img_0066.png,TRUE,onb_repairers_on_partscheck_integrating_partscheck_carquote_integration,5
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,VQS Integration,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration_001,1,Call VQS support on 02 8004 9488. VQS support will be able to intergrate. Connect to the client's computer using TeamViewer or AnyDesk.,,FALSE,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,VQS Integration,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration_002,2,Instruct the client to open VQS/iGen. Navigate to the Quote module. Select Preferences from the top menu bar. Choose Manage System Settings.,,FALSE,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,VQS Integration,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration_003,3,"Enable Third Party Settings. If this module is not enabled, the client needs to contact iGen to activate it for Partscheck integration. Once Third-Party Settings are enabled, enter the client hash in the Client ID field and click Apply.",,FALSE,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration,3
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,VQS Integration,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration_004,4,Access the PartsCheck CM Panel and configure the quote package as VQS iGen in the Quote Package Info section. Create a new quote in iGen and send it to PartsCheck. Forward the quote to S2 and price it in S2. Save the quote in the repairer system to retrieve the prices back in iGen.,,FALSE,onb_repairers_on_partscheck_integrating_partscheck_vqs_integration,4
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Quotimation Integration,onb_repairers_on_partscheck_integrating_partscheck_quotimation_integration_001,1,Email damian@quotimation.com.au for integration. You must send the hash code through with email. Login to your Quotimation Account. Click the setting tab on the left on the screen. ,,FALSE,onb_repairers_on_partscheck_integrating_partscheck_quotimation_integration,1
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Quotimation Integration,onb_repairers_on_partscheck_integrating_partscheck_quotimation_integration_002,2,"Click external systems option. Choose the Parts Check option. Next to TBD, select the edit icon",,FALSE,onb_repairers_on_partscheck_integrating_partscheck_quotimation_integration,2
JI_103_05_Integrating PartsCheck.docx,Onboarding Repairers on PartsCheck,Integrating PartsCheck,Quotimation Integration,onb_repairers_on_partscheck_integrating_partscheck_quotimation_integration_003,3,"Enter the Parts Check hash identification number, Select ok. Click on icon next to enabled, a blue tick will appear, this confirms connection. Click on Parts System tab on the left of screen. If status indicates the link is disabled, Click on the check now button. Status button will change to green when Parts Check link is active. When Parts Check tab at the top of screen is blue, no tasks are outstanding. When Parts Check tab at the top of screen is orange, tasks need completing",,FALSE,onb_repairers_on_partscheck_integrating_partscheck_quotimation_integration,3
JI_103_06_Vision 6 Email.docx,Onboarding Repairers on PartsCheck,Send Vision 6 Email,Send welcome email,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email_001,1,"Send through on the New Rego Teams Chat. Make sure to put in the company shop name, email, and the username and password. For SOC purposes only certain people have log ins to the Vision 6 account. ",,FALSE,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email,1
JI_103_06_Vision 6 Email.docx,Onboarding Repairers on PartsCheck,Send Vision 6 Email,Send welcome email,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email_002,2,"Send Welcome Email through Vision 6. Log in to Vision 6. Once shop is verifie, send through the vision 6 email. This is so the customer has their username and password as well as somehow to video guides",images/JI_103_06_Vision 6 Email_img_0070.png,TRUE,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email,2
JI_103_06_Vision 6 Email.docx,Onboarding Repairers on PartsCheck,Send Vision 6 Email,Send welcome email,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email_003,3,"Once you are logged in, Go to Contacts",images/JI_103_06_Vision 6 Email_img_0071.png,TRUE,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email,3
JI_103_06_Vision 6 Email.docx,Onboarding Repairers on PartsCheck,Send Vision 6 Email,Send welcome email,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email_004,4,"On Contacts Page, make sure you are in PartsCheck > New Registrations! The contact details must go into this folder so that you are able to select it later. You will select this contact later",images/JI_103_06_Vision 6 Email_img_0072.png,TRUE,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email,4
JI_103_06_Vision 6 Email.docx,Onboarding Repairers on PartsCheck,Send Vision 6 Email,Send welcome email,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email_005,5,"To add a shop, click 'New Contact' button",images/JI_103_06_Vision 6 Email_img_0073.png,TRUE,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email,5
JI_103_06_Vision 6 Email.docx,Onboarding Repairers on PartsCheck,Send Vision 6 Email,Send welcome email,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email_006,6,Add customers email and business name. Click 'Add'. Make sure to copy exactly from the New Registration Email or Zendesk Ticket,images/JI_103_06_Vision 6 Email_img_0074.png,TRUE,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email,6
JI_103_06_Vision 6 Email.docx,Onboarding Repairers on PartsCheck,Send Vision 6 Email,Send welcome email,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email_007,7,Go back to Vision 6 Dashboard > Click Messages,images/JI_103_06_Vision 6 Email_img_0075.png,TRUE,onb_repairers_on_partscheck_send_vision_6_email_send_welcome_email,7
